SchoolID,GraduateEnrollment,GraduatePercentWhite,GraduatePercentBlack,GraduatePercentHispanic,GraduatePercentAsian,GraduatePercentNative,GraduatePercentHawaiian,GraduatePercentMixed,GraduatePercent2Plus,GraduatePercentUnknown,GraduatePercentWomen
129941,1775,41,11,6,4,4,0,0,1,7,49
130004,0,,,,,,,,,,
130040,0,,,,,,,,,,
130110,0,,,,,,,,,,
130174,0,,,,,,,,,,
130183,747,27,15,5,1,1,0,0,37,10,65
130217,0,,,,,,,,,,
130226,2782,70,7,8,8,8,0,0,2,5,66
130253,2984,65,6,9,3,3,0,0,2,9,74
130314,1562,64,10,10,7,7,0,0,2,5,82
130396,0,,,,,,,,,,
130493,1928,71,9,7,2,2,0,0,2,7,72
130509,0,,,,,,,,,,
130590,53,60,8,8,2,2,0,0,0,2,57
130606,0,,,,,,,,,,
130624,0,,,,,,,,,,
130697,208,59,6,4,5,5,0,0,3,3,52
130776,614,74,6,11,3,3,0,0,1,4,75
130794,7469,43,4,7,12,11,0,0,4,2,52
130837,0,,,,,,,,,,
130873,0,,,,,,,,,,
130907,0,,,,,,,,,,
130934,378,18,55,6,3,3,1,0,6,1,66
130943,4164,52,5,4,5,4,0,0,2,1,51
130989,754,11,5,1,1,1,0,0,1,0,57
131061,0,,,,,,,,,,
131098,122,66,21,4,2,2,0,0,2,3,75
131113,5194,51,23,4,2,2,0,1,1,6,69
131159,6024,43,12,12,6,5,0,0,3,11,62
131283,2624,50,12,7,3,3,0,0,6,8,57
131399,377,15,50,8,4,4,0,0,5,8,59
131405,95,85,0,5,2,1,1,0,0,0,12
131450,419,57,9,11,4,4,0,0,4,9,71
131469,15626,45,12,7,10,10,0,0,2,7,59
131496,11745,49,8,7,7,7,0,0,2,8,53
131520,2896,6,75,2,7,7,0,0,0,0,63
131803,208,3,84,2,3,3,0,0,3,2,66
131830,0,,,,,,,,,,
131876,392,12,56,8,2,2,0,0,3,17,83
131973,512,44,36,4,9,9,0,0,2,0,52
132374,0,,,,,,,,,,
132408,19,79,5,5,0,0,0,0,5,5,11
132471,3703,31,25,25,7,6,0,1,2,5,70
132602,153,7,76,5,1,1,0,0,1,7,62
132657,861,27,15,12,2,2,0,0,2,19,56
132675,0,,,,,,,,,,
132693,0,,,,,,,,,,
132709,0,,,,,,,,,,
132842,609,8,7,78,0,0,0,0,1,2,85
132851,0,,,,,,,,,,
132879,5,100,0,0,0,0,0,0,0,0,20
132903,9654,50,10,17,6,6,0,0,2,2,58
132976,0,,,,,,,,,,
133021,0,,,,,,,,,,
133155,0,,,,,,,,,,
133386,0,,,,,,,,,,
133465,136,25,49,19,4,4,0,0,0,1,83
133492,0,,,,,,,,,,
133508,0,,,,,,,,,,
133526,0,,,,,,,,,,
133553,629,30,3,7,3,3,0,0,2,3,28
133650,1884,16,69,7,3,3,0,0,2,0,64
133669,5396,48,17,19,5,5,0,0,3,0,61
133702,0,,,,,,,,,,
133711,8,50,13,38,0,0,0,0,0,0,88
133809,0,,,,,,,,,,
133845,0,,,,,,,,,,
133854,0,,,,,,,,,,
133863,0,,,,,,,,,,
133872,364,43,9,23,10,9,1,1,3,10,76
133881,2611,48,10,8,3,3,0,0,3,2,42
133942,0,,,,,,,,,,
133951,9124,17,13,48,4,4,0,0,2,1,60
133960,0,,,,,,,,,,
133979,55,7,76,5,0,0,0,0,0,4,78
133997,0,,,,,,,,,,
134024,0,,,,,,,,,,
134079,431,60,15,14,4,4,0,0,2,3,75
134097,8533,57,10,12,3,3,0,0,3,2,57
134112,0,,,,,,,,,,
134130,16727,50,6,13,6,6,0,0,2,3,55
134228,0,,,,,,,,,,
134237,1593,30,34,15,4,3,0,0,5,10,45
134291,0,,,,,,,,,,
134307,0,,,,,,,,,,
134343,0,,,,,,,,,,
134495,0,,,,,,,,,,
134510,0,,,,,,,,,,
134529,0,,,,,,,,,,
134574,0,,,,,,,,,,
134608,0,,,,,,,,,,
134714,0,,,,,,,,,,
134811,42,10,2,21,0,0,0,0,0,2,69
134945,1293,65,17,8,4,4,0,1,2,0,73
135081,1618,27,23,30,2,2,0,0,5,11,67
135142,0,,,,,,,,,,
135160,0,,,,,,,,,,
135179,0,,,,,,,,,,
135188,0,,,,,,,,,,
135267,0,,,,,,,,,,
135276,0,,,,,,,,,,
135294,0,,,,,,,,,,
135337,0,,,,,,,,,,
135364,626,49,40,3,3,3,0,1,0,4,25
135391,0,,,,,,,,,,
