SchoolID,TotalEnrollment,GraduateEnrollment,GraduatePercentWhite,GraduatePercentBlack,GraduatePercentHispanic,GraduatePercentAsian,GraduatePercentIndian,GraduatePercentHawaiian,GraduatePercentMixed,GraduatePercentTwoPlus,GraduatePercentUnknown,GraduatePercentInternational,GraduatePercentWomen,GraduatePercentMen
155177,308,0,,,,,,,,,,,,
155186,2182,0,,,,,,,,,,,,
155195,4983,0,,,,,,,,,,,,
155201,821,0,,,,,,,,,,,,
155210,17121,0,,,,,,,,,,,,
155283,240,0,,,,,,,,,,,,
155292,4803,0,,,,,,,,,,,,
155308,143,0,,,,,,,,,,,,
155353,94,0,,,,,,,,,,,,
155423,1187,0,,,,,,,,,,,,
155450,1454,0,,,,,,,,,,,,
155487,968,0,,,,,,,,,,,,
155496,145,0,,,,,,,,,,,,
155511,788,0,,,,,,,,,,,,
155566,1783,0,,,,,,,,,,,,
155593,957,0,,,,,,,,,,,,
155618,725,0,,,,,,,,,,,,
155715,1153,0,,,,,,,,,,,,
155830,1007,0,,,,,,,,,,,,
155858,1787,0,,,,,,,,,,,,
156107,5655,0,,,,,,,,,,,,
156134,866,0,,,,,,,,,,,,
156189,553,0,,,,,,,,,,,,
156231,2559,0,,,,,,,,,,,,
156295,1487,0,,,,,,,,,,,,
156310,285,0,,,,,,,,,,,,
156338,5084,0,,,,,,,,,,,,
156392,11619,0,,,,,,,,,,,,
156408,1356,0,,,,,,,,,,,,
156426,204,0,,,,,,,,,,,,
156648,6204,0,,,,,,,,,,,,
156754,43,0,,,,,,,,,,,,
156790,3039,0,,,,,,,,,,,,
156842,219,0,,,,,,,,,,,,
156851,1606,0,,,,,,,,,,,,
156860,2156,0,,,,,,,,,,,,
156921,12574,0,,,,,,,,,,,,
156967,123,0,,,,,,,,,,,,
157030,87,0,,,,,,,,,,,,
157076,834,0,,,,,,,,,,,,
157304,3535,0,,,,,,,,,,,,
157331,4296,0,,,,,,,,,,,,
157438,4752,0,,,,,,,,,,,,
157483,5132,0,,,,,,,,,,,,
157553,2583,0,,,,,,,,,,,,
157614,83,0,,,,,,,,,,,,
157650,158,0,,,,,,,,,,,,
157669,80,0,,,,,,,,,,,,
157678,124,0,,,,,,,,,,,,
157711,5766,0,,,,,,,,,,,,
157739,3144,0,,,,,,,,,,,,
157818,1022,0,,,,,,,,,,,,
158088,1211,0,,,,,,,,,,,,
158246,213,0,,,,,,,,,,,,
158325,130,0,,,,,,,,,,,,
158431,5636,0,,,,,,,,,,,,
158538,49,0,,,,,,,,,,,,
158617,693,0,,,,,,,,,,,,
158662,12130,0,,,,,,,,,,,,
158778,74,0,,,,,,,,,,,,
